Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,15,0.1,0.01,0.5965642240233839
75% Corpus,15,0.1,0.1,0.6014775216539239
75% Corpus,15,0.1,0.3,0.5911022669414151
75% Corpus,15,0.3,0.01,0.5920364302173081
75% Corpus,15,0.3,0.1,0.5974078500599955
75% Corpus,15,0.3,0.3,0.593460474985293
75% Corpus,15,0.5,0.01,0.595872384310662
75% Corpus,15,0.5,0.1,0.5913809181744372
75% Corpus,15,0.5,0.3,0.5865909424622483
75% Corpus,16,0.1,0.01,0.6043528742633314
75% Corpus,16,0.1,0.1,0.6076867425025607
75% Corpus,16,0.1,0.3,0.6073755635599342
75% Corpus,16,0.3,0.01,0.606750452602373
75% Corpus,16,0.3,0.1,0.6077858791484858
75% Corpus,16,0.3,0.3,0.6074471341175266
75% Corpus,16,0.5,0.01,0.6011680900999747
75% Corpus,16,0.5,0.1,0.6079128779861573
75% Corpus,16,0.5,0.3,0.5960532641706
75% Corpus,17,0.1,0.01,0.6100172366123829
75% Corpus,17,0.1,0.1,0.6011450990565274
75% Corpus,17,0.1,0.3,0.582218446853111
75% Corpus,17,0.3,0.01,0.6066626494013087
75% Corpus,17,0.3,0.1,0.6076150340304616
75% Corpus,17,0.3,0.3,0.5896951243516138
75% Corpus,17,0.5,0.01,0.5860713482615452
75% Corpus,17,0.5,0.1,0.5941818619375968
75% Corpus,17,0.5,0.3,0.5729850599401667
75% Corpus,18,0.1,0.01,0.6191252773755441
75% Corpus,18,0.1,0.1,0.6194859890347227
75% Corpus,18,0.1,0.3,0.5976046473378548
75% Corpus,18,0.3,0.01,0.607703844385422
75% Corpus,18,0.3,0.1,0.6075875909047743
75% Corpus,18,0.3,0.3,0.583189560976442
75% Corpus,18,0.5,0.01,0.6036483916772482
75% Corpus,18,0.5,0.1,0.6001476882364911
75% Corpus,18,0.5,0.3,0.5722830808692558
75% Corpus,19,0.1,0.01,0.6174265930885785
75% Corpus,19,0.1,0.1,0.61541081176273
75% Corpus,19,0.1,0.3,0.6092856796712217
75% Corpus,19,0.3,0.01,0.6160189626342032
75% Corpus,19,0.3,0.1,0.615835606851174
75% Corpus,19,0.3,0.3,0.6006832141170408
75% Corpus,19,0.5,0.01,0.6049619087996103
75% Corpus,19,0.5,0.1,0.5964905087119565
75% Corpus,19,0.5,0.3,0.5769746533489502
75% Corpus,20,0.1,0.01,0.6065630172236425
75% Corpus,20,0.1,0.1,0.6066257160470142
75% Corpus,20,0.1,0.3,0.5916319944296516
75% Corpus,20,0.3,0.01,0.6116296215822259
75% Corpus,20,0.3,0.1,0.6105634855367467
75% Corpus,20,0.3,0.3,0.5896314957440123
75% Corpus,20,0.5,0.01,0.6034546621904038
75% Corpus,20,0.5,0.1,0.607506738569899
75% Corpus,20,0.5,0.3,0.5679649776744997
75% Corpus,25,0.1,0.01,0.5859865782724414
75% Corpus,25,0.1,0.1,0.5960787353432991
75% Corpus,25,0.1,0.3,0.6082666241707948
75% Corpus,25,0.3,0.01,0.5716752751039447
75% Corpus,25,0.3,0.1,0.5869985524976559
75% Corpus,25,0.3,0.3,0.5752003884437916
75% Corpus,25,0.5,0.01,0.5881083038014494
75% Corpus,25,0.5,0.1,0.5745281043154502
75% Corpus,25,0.5,0.3,0.5544012599362649
100% Corpus,15,0.1,0.01,0.5976659142199716
100% Corpus,15,0.1,0.1,0.5979711387075549
100% Corpus,15,0.1,0.3,0.6008033250034123
100% Corpus,15,0.3,0.01,0.5931464001168486
100% Corpus,15,0.3,0.1,0.596789763810832
100% Corpus,15,0.3,0.3,0.5953029953370532
100% Corpus,15,0.5,0.01,0.5970569312552557
100% Corpus,15,0.5,0.1,0.5938667759967626
100% Corpus,15,0.5,0.3,0.5892282978178979
100% Corpus,16,0.1,0.01,0.6049478199925205
100% Corpus,16,0.1,0.1,0.6088871990415967
100% Corpus,16,0.1,0.3,0.6054685694496655
100% Corpus,16,0.3,0.01,0.6067791836646595
100% Corpus,16,0.3,0.1,0.6077858791484858
100% Corpus,16,0.3,0.3,0.6076848881052228
100% Corpus,16,0.5,0.01,0.6011680900999747
100% Corpus,16,0.5,0.1,0.6079128779861573
100% Corpus,16,0.5,0.3,0.5955546244534732
100% Corpus,17,0.1,0.01,0.6046985779760069
100% Corpus,17,0.1,0.1,0.6016326695619184
100% Corpus,17,0.1,0.3,0.5823412735380693
100% Corpus,17,0.3,0.01,0.6068646325274646
100% Corpus,17,0.3,0.1,0.6076150340304616
100% Corpus,17,0.3,0.3,0.5862175507559638
100% Corpus,17,0.5,0.01,0.5860713482615452
100% Corpus,17,0.5,0.1,0.5959084584188618
100% Corpus,17,0.5,0.3,0.5727905893782318
100% Corpus,18,0.1,0.01,0.6187351349588168
100% Corpus,18,0.1,0.1,0.6194859890347227
100% Corpus,18,0.1,0.3,0.6029229173343186
100% Corpus,18,0.3,0.01,0.607703844385422
100% Corpus,18,0.3,0.1,0.6068580107271985
100% Corpus,18,0.3,0.3,0.5833071314338506
100% Corpus,18,0.5,0.01,0.6000588752924982
100% Corpus,18,0.5,0.1,0.6071728088230717
100% Corpus,18,0.5,0.3,0.5705419668154954
100% Corpus,19,0.1,0.01,0.6177058245190516
100% Corpus,19,0.1,0.1,0.618825265919754
100% Corpus,19,0.1,0.3,0.6090737332853466
100% Corpus,19,0.3,0.01,0.6160727724282411
100% Corpus,19,0.3,0.1,0.6175611345194355
100% Corpus,19,0.3,0.3,0.6002890890096648
100% Corpus,19,0.5,0.01,0.6038754294913434
100% Corpus,19,0.5,0.1,0.6129777723464871
100% Corpus,19,0.5,0.3,0.5754890574967835
100% Corpus,20,0.1,0.01,0.6260167715534187
100% Corpus,20,0.1,0.1,0.6154464371217852
100% Corpus,20,0.1,0.3,0.6182058202199012
100% Corpus,20,0.3,0.01,0.6203322327507703
100% Corpus,20,0.3,0.1,0.6215242373155687
100% Corpus,20,0.3,0.3,0.6061947578652842
100% Corpus,20,0.5,0.01,0.621502893638505
100% Corpus,20,0.5,0.1,0.6244094359519666
100% Corpus,20,0.5,0.3,0.6098002534241517
100% Corpus,25,0.1,0.01,0.5858208714419537
100% Corpus,25,0.1,0.1,0.5815992477819332
100% Corpus,25,0.1,0.3,0.5969025797319929
100% Corpus,25,0.3,0.01,0.575649177908754
100% Corpus,25,0.3,0.1,0.5772728074712011
100% Corpus,25,0.3,0.3,0.575203512605729
100% Corpus,25,0.5,0.01,0.5896996678169631
100% Corpus,25,0.5,0.1,0.5922602419325805
100% Corpus,25,0.5,0.3,0.5831777768992459
